task_name,task_type,priority,duration_minutes,day_of_week,best_time_slot
Daily Standup,writing,high,65,Friday,Afternoon
UI Testing,meeting,high,82,Thursday,Evening
Product Demo,testing,medium,99,Tuesday,Evening
Client Call,writing,low,146,Thursday,Morning
Bug Fixing,review,medium,60,Friday,Afternoon
Design Mockup,writing,medium,91,Tuesday,Evening
Client Call,writing,medium,83,Thursday,Morning
Sprint Planning,planning,high,102,Saturday,Evening
Daily Standup,testing,medium,113,Monday,Morning
UI Testing,meeting,high,156,Thursday,Evening
Product Demo,meeting,low,28,Saturday,Morning
Bug Fixing,review,low,58,Saturday,Evening
Product Demo,meeting,low,27,Thursday,Morning
Client Call,review,low,33,Sunday,Afternoon
Unit Testing,review,medium,84,Friday,Afternoon
Design Mockup,meeting,high,110,Thursday,Afternoon
Team Meeting,writing,low,83,Monday,Afternoon
Database Backup,review,medium,29,Thursday,Morning
Product Demo,meeting,medium,58,Thursday,Evening
Daily Standup,writing,low,116,Sunday,Afternoon
Code Review,planning,low,145,Saturday,Afternoon
Client Call,writing,medium,80,Friday,Evening
Bug Fixing,coding,low,34,Sunday,Evening
Daily Standup,meeting,medium,110,Friday,Evening
Team Meeting,meeting,medium,46,Saturday,Evening
Client Call,testing,medium,81,Wednesday,Morning
Bug Fixing,testing,medium,157,Sunday,Afternoon
Team Meeting,testing,low,26,Wednesday,Afternoon
Design Mockup,planning,high,111,Thursday,Evening
Design Mockup,coding,medium,83,Friday,Evening
Database Backup,review,high,35,Tuesday,Afternoon
Design Mockup,testing,high,47,Monday,Morning
Sprint Planning,coding,medium,143,Tuesday,Evening
Sprint Planning,coding,low,62,Saturday,Morning
UI Testing,review,high,46,Friday,Morning
Documentation,testing,medium,95,Sunday,Morning
Unit Testing,writing,medium,112,Friday,Morning
Bug Fixing,coding,high,166,Sunday,Morning
Unit Testing,planning,low,131,Tuesday,Morning
Database Backup,meeting,low,21,Saturday,Morning
Design Mockup,testing,high,65,Saturday,Afternoon
Code Review,testing,high,107,Tuesday,Afternoon
Product Demo,review,low,130,Sunday,Morning
Code Review,meeting,high,38,Friday,Afternoon
Team Meeting,testing,low,20,Sunday,Morning
Bug Fixing,testing,low,31,Friday,Afternoon
Documentation,coding,high,76,Wednesday,Afternoon
Product Demo,meeting,low,154,Monday,Morning
Team Meeting,planning,high,154,Sunday,Evening
Client Call,writing,high,21,Thursday,Evening
Code Review,review,low,161,Wednesday,Evening
Code Review,meeting,medium,131,Tuesday,Afternoon
Product Demo,coding,high,44,Sunday,Morning
Team Meeting,coding,low,75,Monday,Afternoon
Database Backup,review,low,36,Tuesday,Afternoon
Design Mockup,writing,medium,117,Wednesday,Morning
Sprint Planning,meeting,medium,47,Tuesday,Afternoon
Database Backup,planning,high,139,Friday,Morning
UI Testing,coding,high,172,Friday,Afternoon
Code Review,review,low,126,Monday,Afternoon
Code Review,review,high,31,Monday,Morning
Product Demo,meeting,medium,32,Tuesday,Morning
Product Demo,testing,high,38,Tuesday,Evening
Sprint Planning,writing,low,73,Saturday,Evening
Sprint Planning,writing,low,49,Tuesday,Evening
Code Review,coding,high,86,Monday,Evening
Design Mockup,coding,high,163,Wednesday,Morning
Client Call,planning,high,33,Tuesday,Afternoon
Product Demo,review,low,71,Saturday,Afternoon
Sprint Planning,meeting,high,31,Wednesday,Afternoon
Client Call,coding,low,177,Sunday,Afternoon
Unit Testing,planning,high,160,Sunday,Evening
Bug Fixing,meeting,high,59,Friday,Evening
UI Testing,planning,low,109,Saturday,Evening
Database Backup,coding,high,144,Friday,Afternoon
Bug Fixing,testing,low,134,Saturday,Afternoon
Daily Standup,review,low,113,Monday,Morning
Design Mockup,meeting,high,86,Tuesday,Afternoon
Client Call,meeting,high,54,Monday,Evening
Client Call,meeting,high,97,Tuesday,Afternoon
Documentation,review,medium,28,Wednesday,Afternoon
Database Backup,planning,medium,125,Sunday,Morning
Sprint Planning,review,medium,56,Thursday,Evening
UI Testing,testing,medium,29,Saturday,Morning
Product Demo,planning,high,118,Sunday,Evening
Database Backup,writing,medium,94,Tuesday,Evening
Database Backup,planning,high,180,Friday,Afternoon
Design Mockup,testing,medium,41,Wednesday,Afternoon
Sprint Planning,coding,high,119,Saturday,Evening
Daily Standup,planning,medium,140,Friday,Evening
Documentation,writing,low,130,Tuesday,Afternoon
Bug Fixing,testing,high,38,Friday,Afternoon
Sprint Planning,review,high,66,Friday,Morning
Team Meeting,writing,low,88,Wednesday,Morning
Bug Fixing,coding,medium,23,Thursday,Morning
Documentation,writing,medium,133,Tuesday,Afternoon
Daily Standup,coding,high,119,Saturday,Afternoon
Documentation,coding,high,106,Monday,Morning
Product Demo,meeting,low,70,Wednesday,Evening
Sprint Planning,planning,high,33,Friday,Morning
Product Demo,coding,high,25,Saturday,Evening
Bug Fixing,meeting,low,157,Thursday,Afternoon
Documentation,planning,high,169,Friday,Evening
UI Testing,meeting,medium,68,Wednesday,Evening
Code Review,testing,low,122,Thursday,Evening
Bug Fixing,review,high,56,Thursday,Evening
Sprint Planning,writing,low,43,Monday,Afternoon
Team Meeting,review,medium,170,Wednesday,Morning
Client Call,review,low,54,Monday,Evening
Database Backup,review,low,40,Sunday,Afternoon
Design Mockup,planning,high,32,Monday,Afternoon
Product Demo,writing,medium,166,Thursday,Afternoon
Database Backup,meeting,low,88,Monday,Afternoon
Design Mockup,coding,high,129,Monday,Morning
Daily Standup,testing,high,82,Tuesday,Evening
Unit Testing,writing,high,45,Wednesday,Afternoon
Documentation,planning,medium,82,Sunday,Evening
Database Backup,review,high,127,Thursday,Afternoon
Unit Testing,planning,low,53,Thursday,Morning
Daily Standup,planning,high,75,Wednesday,Morning
Documentation,writing,medium,128,Monday,Evening
Product Demo,testing,high,85,Monday,Afternoon
Documentation,review,high,167,Saturday,Afternoon
Database Backup,review,medium,82,Monday,Evening
Client Call,planning,low,104,Wednesday,Evening
Daily Standup,testing,medium,85,Wednesday,Evening
Bug Fixing,review,medium,80,Saturday,Evening
Sprint Planning,review,medium,87,Tuesday,Afternoon
Database Backup,coding,medium,145,Thursday,Morning
Sprint Planning,meeting,low,85,Tuesday,Evening
Product Demo,writing,medium,38,Saturday,Afternoon
Design Mockup,meeting,low,115,Friday,Evening
Code Review,review,high,31,Thursday,Afternoon
Design Mockup,writing,low,25,Monday,Afternoon
Sprint Planning,testing,high,67,Sunday,Morning
UI Testing,planning,high,87,Saturday,Evening
Daily Standup,coding,high,61,Tuesday,Evening
Client Call,testing,high,91,Monday,Afternoon
Product Demo,coding,low,42,Tuesday,Evening
Database Backup,planning,high,164,Thursday,Evening
Team Meeting,meeting,low,123,Thursday,Morning
Client Call,planning,medium,120,Wednesday,Morning
UI Testing,coding,low,86,Tuesday,Afternoon
Product Demo,meeting,high,156,Saturday,Afternoon
Unit Testing,review,high,161,Thursday,Afternoon
Bug Fixing,review,medium,45,Friday,Afternoon
Sprint Planning,review,low,175,Monday,Morning
Sprint Planning,planning,low,117,Saturday,Morning
Team Meeting,writing,low,80,Tuesday,Evening
Documentation,writing,high,123,Friday,Afternoon
Unit Testing,testing,low,21,Friday,Evening
Team Meeting,planning,high,87,Friday,Evening
Bug Fixing,writing,high,25,Saturday,Afternoon
Product Demo,planning,low,131,Wednesday,Evening
Bug Fixing,review,low,70,Saturday,Afternoon
Team Meeting,testing,medium,121,Saturday,Morning
Daily Standup,testing,high,100,Saturday,Evening
Unit Testing,writing,medium,44,Friday,Afternoon
Bug Fixing,meeting,high,97,Friday,Afternoon
Unit Testing,meeting,medium,64,Saturday,Evening
Unit Testing,meeting,high,109,Friday,Evening
Sprint Planning,review,high,49,Wednesday,Evening
Unit Testing,writing,low,81,Monday,Afternoon
Code Review,planning,high,70,Saturday,Afternoon
Unit Testing,planning,high,92,Tuesday,Morning
Documentation,review,medium,178,Sunday,Evening
Daily Standup,planning,high,76,Wednesday,Evening
Unit Testing,testing,low,167,Saturday,Morning
Team Meeting,planning,medium,180,Sunday,Morning
Documentation,meeting,low,109,Wednesday,Evening
Team Meeting,writing,medium,78,Sunday,Morning
UI Testing,coding,low,132,Tuesday,Evening
Sprint Planning,planning,medium,162,Monday,Evening
Bug Fixing,review,low,135,Monday,Evening
UI Testing,meeting,high,98,Friday,Afternoon
Documentation,coding,high,96,Thursday,Morning
Daily Standup,meeting,high,83,Wednesday,Evening
Client Call,meeting,low,63,Tuesday,Afternoon
Client Call,coding,medium,152,Saturday,Evening
Documentation,planning,low,103,Sunday,Afternoon
Client Call,writing,low,100,Thursday,Morning
Product Demo,meeting,low,95,Sunday,Evening
Team Meeting,writing,high,149,Thursday,Evening
Unit Testing,testing,low,125,Thursday,Morning
Design Mockup,planning,medium,42,Thursday,Morning
Product Demo,writing,medium,98,Tuesday,Afternoon
UI Testing,meeting,medium,87,Thursday,Morning
Client Call,writing,medium,59,Wednesday,Morning
Bug Fixing,meeting,medium,22,Tuesday,Afternoon
Client Call,testing,medium,111,Sunday,Morning
Design Mockup,review,low,164,Friday,Morning
Documentation,review,high,101,Tuesday,Afternoon
Code Review,coding,high,171,Tuesday,Morning
Sprint Planning,coding,high,154,Sunday,Evening
Unit Testing,coding,medium,179,Saturday,Morning
Product Demo,coding,low,149,Tuesday,Afternoon
Daily Standup,meeting,low,158,Saturday,Evening
Unit Testing,coding,high,131,Sunday,Evening
Client Call,writing,low,73,Monday,Evening
UI Testing,writing,low,142,Monday,Morning
Team Meeting,testing,high,73,Monday,Afternoon
UI Testing,writing,high,137,Friday,Evening
Daily Standup,coding,high,118,Sunday,Evening
UI Testing,testing,medium,47,Tuesday,Morning
Sprint Planning,meeting,medium,78,Friday,Morning
Design Mockup,testing,high,153,Tuesday,Morning
Product Demo,writing,low,107,Thursday,Afternoon
Product Demo,meeting,medium,94,Tuesday,Afternoon
Team Meeting,writing,low,160,Wednesday,Evening
Sprint Planning,writing,low,85,Sunday,Evening
Sprint Planning,testing,low,83,Tuesday,Evening
Sprint Planning,meeting,high,86,Thursday,Afternoon
Database Backup,coding,high,73,Sunday,Morning
Code Review,meeting,medium,107,Thursday,Afternoon
Daily Standup,coding,high,68,Monday,Afternoon
Daily Standup,writing,low,135,Friday,Afternoon
Sprint Planning,writing,low,152,Tuesday,Afternoon
Sprint Planning,testing,high,95,Tuesday,Morning
Sprint Planning,coding,medium,165,Wednesday,Evening
Daily Standup,writing,medium,155,Saturday,Evening
Design Mockup,coding,low,53,Monday,Afternoon
Documentation,writing,high,123,Sunday,Morning
Daily Standup,planning,low,32,Monday,Morning
Documentation,review,medium,112,Wednesday,Morning
Team Meeting,meeting,low,104,Saturday,Morning
Design Mockup,review,high,36,Tuesday,Evening
Design Mockup,coding,high,148,Friday,Morning
Design Mockup,testing,high,156,Monday,Evening
Unit Testing,coding,high,77,Wednesday,Afternoon
Design Mockup,testing,medium,97,Thursday,Afternoon
Unit Testing,testing,medium,28,Monday,Evening
Bug Fixing,testing,high,50,Wednesday,Evening
Database Backup,meeting,medium,86,Tuesday,Afternoon
Sprint Planning,review,high,28,Friday,Evening
Database Backup,coding,high,54,Saturday,Evening
Product Demo,testing,low,178,Sunday,Afternoon
Unit Testing,coding,medium,160,Sunday,Afternoon
Team Meeting,writing,medium,124,Saturday,Evening
Client Call,meeting,low,171,Saturday,Morning
Code Review,writing,low,102,Tuesday,Morning
Product Demo,review,medium,33,Monday,Evening
UI Testing,meeting,high,142,Thursday,Morning
Product Demo,testing,high,81,Monday,Morning
Product Demo,review,low,130,Wednesday,Morning
Bug Fixing,testing,high,61,Wednesday,Afternoon
Product Demo,coding,low,139,Sunday,Morning
Team Meeting,writing,low,88,Tuesday,Evening
Design Mockup,coding,high,73,Tuesday,Evening
Documentation,meeting,medium,159,Thursday,Morning
Product Demo,testing,high,90,Friday,Morning
UI Testing,planning,low,155,Saturday,Afternoon
Unit Testing,writing,low,70,Thursday,Evening
Daily Standup,meeting,low,117,Sunday,Evening
Unit Testing,coding,low,98,Tuesday,Afternoon
Daily Standup,writing,low,99,Wednesday,Afternoon
Daily Standup,review,medium,98,Saturday,Morning
Code Review,planning,low,27,Sunday,Morning
Client Call,planning,high,116,Tuesday,Afternoon
Daily Standup,review,low,158,Sunday,Morning
Team Meeting,writing,high,160,Tuesday,Afternoon
Client Call,testing,low,133,Friday,Afternoon
Unit Testing,meeting,high,28,Tuesday,Morning
Database Backup,coding,high,134,Tuesday,Evening
Sprint Planning,review,low,157,Saturday,Morning
UI Testing,review,low,168,Sunday,Evening
Sprint Planning,coding,medium,46,Tuesday,Afternoon
Design Mockup,meeting,low,41,Monday,Morning
Design Mockup,planning,high,163,Friday,Morning
Design Mockup,coding,medium,90,Friday,Afternoon
Client Call,review,low,165,Wednesday,Morning
Database Backup,writing,low,65,Thursday,Morning
Sprint Planning,writing,medium,35,Monday,Morning
Client Call,review,high,128,Wednesday,Evening
Code Review,testing,medium,82,Friday,Evening
Code Review,planning,high,160,Thursday,Morning
Documentation,coding,medium,91,Friday,Morning
Documentation,planning,medium,64,Sunday,Afternoon
Daily Standup,writing,low,171,Thursday,Morning
Code Review,writing,low,107,Friday,Morning
Product Demo,review,medium,160,Friday,Evening
Database Backup,planning,low,41,Sunday,Evening
UI Testing,testing,low,30,Thursday,Evening
Team Meeting,coding,medium,90,Monday,Morning
Design Mockup,writing,low,42,Thursday,Evening
Daily Standup,testing,high,48,Friday,Afternoon
UI Testing,writing,medium,142,Wednesday,Evening
Design Mockup,writing,medium,64,Tuesday,Afternoon
UI Testing,writing,high,70,Monday,Evening
Sprint Planning,meeting,low,102,Saturday,Morning
Client Call,meeting,medium,113,Tuesday,Evening
Documentation,meeting,medium,116,Monday,Afternoon
Documentation,planning,medium,64,Thursday,Morning
Unit Testing,planning,high,51,Sunday,Morning
Daily Standup,coding,high,104,Thursday,Afternoon
Product Demo,review,high,24,Friday,Morning
Code Review,planning,medium,84,Sunday,Evening
Daily Standup,coding,high,73,Sunday,Afternoon
Team Meeting,meeting,low,95,Wednesday,Afternoon
Design Mockup,testing,low,163,Friday,Evening
Database Backup,testing,low,155,Monday,Evening
Sprint Planning,meeting,high,34,Sunday,Afternoon
Unit Testing,coding,high,37,Wednesday,Evening
Code Review,meeting,low,42,Monday,Afternoon
Code Review,planning,high,52,Saturday,Evening
Code Review,planning,high,110,Saturday,Evening
Documentation,review,high,112,Thursday,Evening
Bug Fixing,review,medium,143,Friday,Morning
UI Testing,writing,medium,129,Wednesday,Evening
Database Backup,coding,low,57,Wednesday,Morning
Database Backup,planning,high,112,Friday,Evening
Daily Standup,planning,low,43,Wednesday,Afternoon
Code Review,meeting,medium,118,Wednesday,Evening
Code Review,meeting,low,48,Monday,Morning
Daily Standup,writing,medium,151,Saturday,Morning
Client Call,planning,medium,65,Monday,Morning
Team Meeting,coding,low,171,Tuesday,Afternoon
Client Call,planning,high,162,Saturday,Morning
Team Meeting,review,high,160,Sunday,Morning
Daily Standup,meeting,medium,120,Thursday,Evening
Design Mockup,writing,high,107,Saturday,Afternoon
Unit Testing,planning,low,124,Thursday,Evening
Bug Fixing,planning,low,73,Thursday,Evening
Sprint Planning,testing,medium,90,Thursday,Afternoon
UI Testing,testing,medium,107,Wednesday,Evening
Product Demo,writing,medium,140,Saturday,Evening
Database Backup,writing,medium,167,Tuesday,Morning
Daily Standup,planning,high,82,Saturday,Morning
Design Mockup,meeting,medium,112,Thursday,Afternoon
Client Call,review,low,168,Friday,Evening
Design Mockup,planning,high,29,Thursday,Morning
Design Mockup,review,high,120,Sunday,Afternoon
UI Testing,review,low,104,Tuesday,Morning
Database Backup,coding,high,138,Wednesday,Evening
Daily Standup,testing,low,174,Thursday,Evening
UI Testing,meeting,high,168,Saturday,Morning
Code Review,review,high,72,Tuesday,Evening
Documentation,planning,medium,57,Monday,Morning
Product Demo,writing,high,121,Thursday,Afternoon
Product Demo,testing,low,83,Saturday,Evening
Unit Testing,review,medium,34,Wednesday,Afternoon
Database Backup,review,low,106,Tuesday,Evening
Bug Fixing,writing,medium,105,Wednesday,Afternoon
Code Review,review,low,132,Tuesday,Afternoon
Product Demo,meeting,high,175,Tuesday,Morning
Database Backup,testing,medium,109,Monday,Morning
Design Mockup,meeting,high,100,Wednesday,Morning
Unit Testing,coding,high,94,Thursday,Afternoon
Design Mockup,coding,medium,38,Friday,Afternoon
Product Demo,review,medium,132,Tuesday,Morning
Documentation,testing,high,21,Tuesday,Evening
Database Backup,meeting,low,153,Friday,Evening
Documentation,review,medium,98,Thursday,Evening
Bug Fixing,planning,medium,176,Saturday,Afternoon
Sprint Planning,testing,high,108,Thursday,Evening
Daily Standup,writing,high,24,Tuesday,Evening
Code Review,review,high,162,Monday,Afternoon
Daily Standup,testing,low,80,Thursday,Evening
Product Demo,meeting,medium,109,Wednesday,Morning
Database Backup,review,high,47,Thursday,Afternoon
Design Mockup,meeting,low,48,Saturday,Evening
UI Testing,planning,high,127,Saturday,Afternoon
Unit Testing,testing,high,55,Wednesday,Evening
Product Demo,coding,medium,91,Wednesday,Morning
Daily Standup,coding,medium,168,Sunday,Evening
Team Meeting,testing,low,66,Friday,Evening
Documentation,writing,low,90,Thursday,Evening
Database Backup,testing,high,150,Friday,Evening
Daily Standup,review,high,58,Monday,Afternoon
Client Call,review,low,82,Thursday,Evening
Daily Standup,planning,high,169,Monday,Afternoon
Unit Testing,writing,high,113,Wednesday,Afternoon
Product Demo,testing,high,133,Tuesday,Evening
Design Mockup,writing,high,158,Tuesday,Evening
UI Testing,planning,high,22,Thursday,Morning
Unit Testing,review,low,59,Monday,Morning
Daily Standup,planning,low,29,Thursday,Afternoon
Code Review,planning,high,68,Saturday,Afternoon
Product Demo,coding,high,42,Saturday,Afternoon
Bug Fixing,meeting,high,105,Sunday,Evening
Documentation,planning,low,81,Friday,Afternoon
Product Demo,writing,low,103,Tuesday,Morning
Database Backup,coding,medium,97,Sunday,Afternoon
Database Backup,writing,medium,98,Thursday,Morning
Unit Testing,testing,high,176,Tuesday,Morning
Product Demo,writing,low,66,Saturday,Morning
Team Meeting,review,high,60,Saturday,Morning
Documentation,review,low,64,Thursday,Evening
Code Review,review,low,28,Wednesday,Evening
Documentation,review,medium,139,Tuesday,Evening
Daily Standup,writing,medium,115,Saturday,Afternoon
Design Mockup,coding,medium,115,Tuesday,Afternoon
Daily Standup,testing,low,156,Tuesday,Morning
Team Meeting,testing,medium,162,Saturday,Evening
Client Call,planning,high,177,Friday,Evening
Client Call,review,high,72,Sunday,Afternoon
Daily Standup,coding,high,116,Wednesday,Morning
Database Backup,planning,medium,154,Thursday,Evening
Database Backup,review,medium,93,Monday,Morning
Sprint Planning,coding,medium,95,Tuesday,Evening
Code Review,review,low,85,Sunday,Afternoon
Sprint Planning,coding,medium,45,Monday,Evening
Bug Fixing,review,low,119,Wednesday,Evening
Documentation,coding,medium,139,Friday,Evening
Team Meeting,writing,high,161,Saturday,Morning
Team Meeting,review,high,43,Wednesday,Morning
Team Meeting,testing,high,122,Saturday,Morning
Documentation,review,medium,93,Thursday,Afternoon
Daily Standup,testing,low,161,Friday,Evening
Daily Standup,review,low,23,Wednesday,Evening
Team Meeting,writing,low,55,Friday,Morning
Team Meeting,review,low,120,Tuesday,Afternoon
Design Mockup,review,medium,45,Thursday,Morning
Documentation,review,medium,162,Tuesday,Morning
UI Testing,meeting,high,55,Sunday,Afternoon
Client Call,coding,low,174,Saturday,Evening
Sprint Planning,planning,low,110,Tuesday,Evening
Team Meeting,writing,medium,52,Tuesday,Afternoon
Documentation,testing,high,171,Thursday,Morning
Bug Fixing,meeting,low,118,Monday,Evening
Sprint Planning,coding,low,103,Thursday,Afternoon
Product Demo,meeting,medium,148,Thursday,Afternoon
Daily Standup,writing,low,45,Saturday,Morning
Client Call,review,high,148,Wednesday,Evening
Documentation,writing,medium,80,Tuesday,Afternoon
Sprint Planning,review,low,139,Saturday,Morning
Database Backup,testing,low,91,Sunday,Afternoon
Unit Testing,writing,high,127,Friday,Evening
Bug Fixing,review,low,21,Saturday,Evening
Unit Testing,planning,medium,136,Monday,Afternoon
Database Backup,meeting,high,36,Tuesday,Afternoon
Team Meeting,writing,medium,86,Tuesday,Afternoon
Team Meeting,writing,high,168,Monday,Morning
Sprint Planning,coding,low,131,Monday,Evening
Unit Testing,review,low,46,Thursday,Evening
Product Demo,coding,medium,34,Monday,Evening
Database Backup,writing,low,96,Thursday,Morning
Client Call,planning,high,48,Saturday,Morning
Database Backup,planning,low,140,Tuesday,Evening
Bug Fixing,writing,high,91,Friday,Afternoon
Daily Standup,writing,medium,147,Wednesday,Afternoon
Unit Testing,writing,high,167,Friday,Afternoon
Client Call,writing,high,33,Saturday,Afternoon
Team Meeting,testing,low,50,Friday,Afternoon
Client Call,meeting,high,89,Sunday,Afternoon
Team Meeting,coding,high,137,Wednesday,Afternoon
UI Testing,planning,medium,158,Sunday,Evening
Unit Testing,testing,high,82,Friday,Morning
UI Testing,testing,high,140,Friday,Evening
Code Review,review,low,179,Thursday,Morning
Client Call,testing,high,131,Thursday,Afternoon
Database Backup,meeting,low,84,Monday,Afternoon
Bug Fixing,writing,high,37,Saturday,Morning
Bug Fixing,coding,medium,178,Tuesday,Afternoon
Code Review,planning,high,103,Sunday,Evening
Client Call,review,high,174,Tuesday,Afternoon
Unit Testing,review,low,89,Friday,Afternoon
Code Review,meeting,low,24,Thursday,Morning
Product Demo,coding,low,52,Sunday,Evening
Daily Standup,review,low,144,Thursday,Morning
Product Demo,review,medium,173,Friday,Afternoon
Team Meeting,review,medium,167,Thursday,Morning
Sprint Planning,testing,low,64,Monday,Afternoon
Product Demo,coding,low,42,Tuesday,Evening
Code Review,writing,medium,96,Saturday,Afternoon
Bug Fixing,review,medium,66,Sunday,Afternoon
Documentation,planning,high,75,Wednesday,Morning
Design Mockup,testing,low,109,Friday,Morning
Product Demo,meeting,low,32,Tuesday,Morning
Code Review,review,low,56,Friday,Evening
Bug Fixing,testing,low,28,Thursday,Afternoon
Design Mockup,coding,medium,152,Sunday,Morning
Documentation,planning,high,143,Friday,Morning
Database Backup,meeting,medium,34,Tuesday,Morning
